observable,tick,w1,threshold,excess
boundEnzymes,55,4.98,3.242799999999997,1.7372000000000036
boundEnzymes,56,5.16,2.5751,2.5849
boundEnzymes,57,4.6000000000000005,2.7950999999999993,1.8049000000000013
boundEnzymes,58,4.780000000000001,2.4859999999999998,2.2940000000000014
boundEnzymes,59,5.8,3.2350999999999996,2.5649
boundEnzymes,60,6.320000000000001,3.485899999999997,2.8341000000000043
boundEnzymes,61,5.720000000000001,4.029299999999998,1.6907000000000023
boundEnzymes,62,6.0,3.7674999999999987,2.2325000000000013
boundEnzymes,63,4.9399999999999995,2.9271,2.0128999999999997
boundEnzymes,64,5.880000000000001,3.462799999999997,2.417200000000004
boundEnzymes,65,5.02,2.1999999999999997,2.82
boundEnzymes,66,6.199999999999999,2.6850999999999994,3.5149
boundEnzymes,67,5.500000000000001,2.9270999999999994,2.5729000000000015
boundEnzymes,68,5.24,2.6036999999999972,2.636300000000003
boundEnzymes,69,6.92,3.9181999999999992,3.0018000000000007
boundEnzymes,70,6.84,3.5650999999999993,3.2749000000000006
boundEnzymes,71,5.199999999999999,2.4221999999999997,2.7777999999999996
boundEnzymes,72,5.4399999999999995,3.2350999999999996,2.2049
boundEnzymes,73,4.4,2.4210999999999996,1.9789000000000008
boundEnzymes,74,6.16,4.0710999999999995,2.0889000000000006
boundEnzymes,75,7.300000000000001,4.600199999999999,2.6998000000000015
boundEnzymes,76,5.020000000000001,2.7301999999999995,2.289800000000002
boundEnzymes,77,4.92,2.866599999999998,2.053400000000002
boundEnzymes,78,4.800000000000001,2.488199999999999,2.3118000000000016
boundEnzymes,79,6.580000000000001,3.6971,2.882900000000001
boundEnzymes,80,6.280000000000001,3.1954999999999982,3.084500000000003
boundEnzymes,81,5.0600000000000005,2.750000000000001,2.3099999999999996
boundEnzymes,82,5.48,3.1690999999999994,2.310900000000001
boundEnzymes,83,4.94,2.6839999999999997,2.2560000000000007
boundEnzymes,84,4.959999999999999,2.9051000000000005,2.0548999999999986
boundEnzymes,85,6.1,3.0591,3.0408999999999997
boundEnzymes,86,5.200000000000001,3.2570999999999994,1.9429000000000016
boundEnzymes,87,5.380000000000001,3.4561999999999995,1.9238000000000013
boundEnzymes,88,5.280000000000001,2.775299999999999,2.504700000000002
boundEnzymes,89,5.16,2.8842000000000003,2.2758
boundEnzymes,90,5.38,2.8236999999999974,2.5563000000000025
boundEnzymes,91,5.9,3.2790999999999997,2.6209000000000007
boundEnzymes,92,6.9799999999999995,3.8522000000000003,3.1277999999999992
boundEnzymes,93,5.1000000000000005,2.8390999999999997,2.260900000000001
boundEnzymes,94,4.98,2.7070999999999996,2.272900000000001
boundEnzymes,95,6.0,3.152599999999998,2.847400000000002
boundEnzymes,96,5.7,3.1262,2.5738000000000003
boundEnzymes,97,4.9,2.9920000000000004,1.908
boundEnzymes,98,6.0,4.531999999999999,1.4680000000000009
boundEnzymes,99,3.98,2.270399999999999,1.709600000000001
monomers,0,1.94,0.0,1.94
monomers,1,0.5800000000000001,0.22000000000000006,0.36
monomers,2,1.24,0.37509999999999966,0.8649000000000003
monomers,3,0.9199999999999999,0.5059999999999999,0.41400000000000003
monomers,4,1.3199999999999998,0.6390999999999997,0.6809000000000002
monomers,9,0.5999999999999999,0.44109999999999966,0.1589000000000002
monomers,10,0.7,0.5950999999999999,0.1049000000000001
monomers,11,1.2200000000000002,0.4410999999999997,0.7789000000000005
monomers,12,0.94,0.41909999999999975,0.5209000000000001
monomers,13,0.7,0.6830999999999998,0.016900000000000137
monomers,14,0.9600000000000001,0.682,0.278
monomers,15,1.4000000000000004,0.616,0.7840000000000004
monomers,16,2.12,0.44000000000000006,1.6800000000000002
monomers,17,2.2800000000000002,0.41909999999999964,1.8609000000000007
monomers,18,1.9799999999999998,0.5730999999999996,1.4069000000000003
monomers,19,2.16,0.55,1.61
monomers,20,2.08,0.6380000000000001,1.442
monomers,21,1.8599999999999999,0.6390999999999998,1.2209
monomers,22,2.2600000000000002,0.6390999999999997,1.6209000000000007
monomers,23,2.42,0.4840000000000001,1.936
monomers,24,2.68,0.5290999999999997,2.1509000000000005
monomers,25,2.5,0.594,1.9060000000000001
monomers,26,2.68,0.5730999999999998,2.1069000000000004
monomers,27,2.8400000000000003,0.6170999999999998,2.2229000000000005
monomers,28,3.24,0.5070999999999998,2.7329000000000003
monomers,29,3.579999999999999,0.6390999999999996,2.9408999999999996
monomers,30,3.7600000000000002,0.5730999999999997,3.1869000000000005
monomers,31,4.119999999999999,0.43999999999999995,3.6799999999999993
monomers,32,3.8400000000000003,0.6160000000000001,3.224
monomers,33,4.0,0.41800000000000004,3.582
monomers,34,3.84,0.6380000000000001,3.202
monomers,35,4.1000000000000005,0.594,3.5060000000000007
monomers,36,4.38,0.7919999999999998,3.588
monomers,37,4.500000000000001,0.5510999999999996,3.9489000000000014
monomers,38,5.2,0.5290999999999997,4.6709000000000005
monomers,39,4.74,0.6390999999999998,4.1009
monomers,40,4.98,0.638,4.3420000000000005
monomers,41,5.620000000000001,0.5290999999999997,5.090900000000001
monomers,42,5.279999999999999,0.5939999999999999,4.686
monomers,43,5.720000000000001,0.5730999999999997,5.1469000000000005
monomers,44,5.66,0.5730999999999997,5.0869
monomers,45,6.3,0.5730999999999998,5.7269
monomers,46,6.68,0.5939999999999999,6.086
monomers,47,6.08,0.7040000000000002,5.3759999999999994
monomers,48,6.68,0.55,6.13
monomers,49,6.319999999999999,0.6170999999999998,5.7029
monomers,50,6.979999999999999,0.55,6.429999999999999
monomers,51,7.04,0.5720000000000001,6.468
monomers,52,7.179999999999999,0.6599999999999999,6.519999999999999
monomers,53,7.159999999999999,0.7040000000000001,6.4559999999999995
monomers,54,7.4,0.5940000000000001,6.806
monomers,55,7.460000000000001,0.5940000000000001,6.8660000000000005
monomers,56,7.38,0.6610999999999998,6.7189
monomers,57,7.9799999999999995,0.6170999999999998,7.3629
monomers,58,7.699999999999999,0.704,6.9959999999999996
monomers,59,8.180000000000001,0.6610999999999996,7.518900000000002
monomers,60,8.540000000000001,0.5720000000000001,7.968000000000001
monomers,61,8.660000000000002,0.7480000000000001,7.912000000000002
monomers,62,8.700000000000001,0.66,8.040000000000001
monomers,63,8.9,0.7270999999999997,8.1729
monomers,64,9.72,0.5279999999999999,9.192
monomers,65,9.819999999999999,0.5499999999999999,9.269999999999998
monomers,66,9.56,0.594,8.966000000000001
monomers,67,10.240000000000002,0.6830999999999996,9.556900000000002
monomers,68,10.399999999999999,0.5290999999999996,9.870899999999999
monomers,69,10.799999999999999,0.5070999999999998,10.2929
monomers,70,10.860000000000001,0.44000000000000006,10.420000000000002
monomers,71,10.379999999999999,0.7710999999999997,9.608899999999998
monomers,72,10.84,0.5719999999999998,10.268
monomers,73,10.9,0.6380000000000001,10.262
monomers,74,11.38,0.6819999999999999,10.698
monomers,75,10.740000000000002,0.7270999999999999,10.012900000000002
monomers,76,11.72,0.5060000000000001,11.214
monomers,77,11.48,0.5730999999999997,10.9069
monomers,78,11.84,0.7270999999999997,11.1129
monomers,79,11.74,0.6160000000000001,11.124
monomers,80,11.940000000000001,0.7040000000000001,11.236
monomers,81,12.180000000000001,0.7281999999999994,11.451800000000002
monomers,82,12.700000000000001,0.5510999999999997,12.148900000000001
monomers,83,12.54,0.7050999999999998,11.8349
monomers,84,13.100000000000001,0.7699999999999999,12.330000000000002
monomers,85,12.280000000000001,0.704,11.576
monomers,86,13.380000000000003,0.6600000000000001,12.720000000000002
monomers,87,12.920000000000002,0.7919999999999999,12.128000000000002
monomers,88,13.26,0.6610999999999996,12.5989
monomers,89,13.52,0.7050999999999995,12.8149
monomers,90,13.68,0.8580000000000001,12.822
monomers,91,13.780000000000001,0.8810999999999996,12.898900000000001
monomers,92,14.139999999999997,0.6830999999999997,13.456899999999997
monomers,93,14.040000000000003,0.6610999999999997,13.378900000000003
monomers,94,14.379999999999999,0.8140000000000001,13.565999999999999
monomers,95,14.46,0.792,13.668000000000001
monomers,96,14.64,0.6160000000000001,14.024000000000001
monomers,97,14.64,0.8821999999999993,13.757800000000001
monomers,98,14.84,0.6610999999999996,14.1789
monomers,99,14.96,0.5510999999999997,14.408900000000001
